"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "Markdown", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\SupportTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 14, 101
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\TabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 7, 13, 112
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\UserTabDashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 3, 13, 107
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\Layouts\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\ArticlesAdsForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 1, 13, 90
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\BannerForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 278, 0, 11, 22, 311
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\FooterBannerForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 239, 0, 10, 18, 267
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\GeneralSettingForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 7, 96
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\LogoImagesForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 149, 0, 37, 17, 203
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\SliderForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 283, 0, 19, 20, 322
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\TextMarqueeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 4, 46
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\ads\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\articles\ArticleCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 3, 7, 49
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\articles\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\banners\ArticleBanners.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 9, 67
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\banners\FooterBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\banners\LargeBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 10, 61
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\banners\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\builders\PdfGenerator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 3, 117
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\builders\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\AddToCartButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 5, 16, 81
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartDiscountItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 4, 6, 36
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 1, 4, 19
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartDropdownMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 8, 14, 99
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartIconBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 3, 6, 26
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartItemActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 3, 11, 44
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartItemDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 5, 13, 85
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartOperations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 7, 24, 138
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\CartSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 4, 9, 61
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\FreeShippingIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 1, 2, 16
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\cart\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\categories\CategoryList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 2, 7, 72
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\categories\CategorySelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 80, 25, 231
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\categories\ParentSubCategoriesTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 259, 0, 7, 21, 287
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\categories\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\AdditionalForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 5, 31, 293
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\CopyrightForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 4, 53
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\DesignItemForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 244, 0, 4, 20, 268
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\RedirectForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 1, 6, 80
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\designs\SloganFooterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 1, 4, 64
